Type	Tissue	spemirp.value	spehostp.value	speratiop.value	spemirestimate	spehostestimate	speratioestimate	spemirfulogp	spehostfulogp	speratiofulogp	normirp.value	norhostp.value	norratiop.value	normirestimate	norhostestimate	norratioestimate	normirfulogp	norhostfulogp	norratiofulogp
ENSG00000131914hsa-let-7b-5p	all	0.614149472061664	1.3518717989621e-97	6.26044872311143e-74	0.00483905198288096	0.199214339613739	-0.173265775513183	0.211725917146412	96.8690644915625	-73.2033945372389	1.8038839361283e-06	1.72264301183488e-13	9.45865340807555e-27	-0.0458006092098507	0.0706390232110477	-0.102496408338361	-5.74379140887865	12.7638047132969	-26.0241706880241
ENSG00000131914hsa-let-7b-5p	TCGA-ACC	0.609658705418846	0.806305468823582	0.935455630889557	0.0583232571138687	0.0280279151357145	-0.00925865960662927	0.214913220454682	0.0935003945577724	-0.0289768064716146	0.80235766783723	0.750494834355937	0.902693379865954	0.0286108858356681	0.0363437969716472	-0.0139774062383232	0.0956319926367823	0.124652292652466	-0.0444597425388481
ENSG00000131914hsa-let-7b-5p	TCGA-BLCA	0.0168506345277693	0.845929712903699	0.164836348590095	-0.118998250309037	-0.00970942056135008	-0.0693224969450139	-1.77338374068461	-0.0726657203725478	-0.782947014413991	0.00745623281738237	0.881295151897912	0.171962498435979	-0.133108439087772	-0.00746161019890773	-0.0681741491870772	-2.12748053980028	-0.0548786189732803	-0.76456625366275
ENSG00000131914hsa-let-7b-5p	TCGA-BRCA	4.69637483490518e-11	0.771829661739745	1.77827918838608e-06	-0.198465655634143	-0.00883394278996719	-0.144764277266106	-10.3282372477412	-0.112478535323624	-5.75000005413244	2.49118135275608e-24	0.437329556165471	1.29089692118693e-08	-0.302754316771819	-0.0236586388683724	-0.171966369062938	-23.603594655589	-0.359191170618079	-7.88910843499693
ENSG00000131914hsa-let-7b-5p	TCGA-CESC	0.468482139771715	0.855303612822079	0.327055028489748	-0.0415949808632688	0.0104671326808988	-0.0562122185226815	-0.329306961332111	0.0678796934971498	-0.485379169178213	0.0128419125923009	0.921083935637529	0.124159805909235	-0.142095650907591	0.00568659290625984	-0.0880851939786064	-1.89137029040851	0.0357007920363254	-0.906018974989028
ENSG00000131914hsa-let-7b-5p	TCGA-CHOL	0.562295809621004	0.043826693097799	0.144956569683303	-0.0998546301288905	-0.337927658365346	0.247868032826755	-0.250035152957352	-1.35826129739439	0.83876209688332	0.0738637389192469	0.0123271885560288	0.271699623610053	-0.301573235441519	-0.412880881132903	0.188191567982782	-1.13156871251365	-1.90913596102207	0.565910963216965
ENSG00000131914hsa-let-7b-5p	TCGA-COAD	0.225302471244793	0.00239108585775962	0.0370135058652913	0.0578562371903518	0.144261547875643	-0.0993511466357039	0.647234044662805	2.62140482920343	-1.4316397772167	0.134173166377582	0.000108527477851145	0.00596555225308392	0.0714376172678685	0.183275219002792	-0.130745198023909	0.872334331107366	3.96446028975746	-2.22434934589722
ENSG00000131914hsa-let-7b-5p	TCGA-DLBC	0.522852044333237	0.360530591163912	0.526540024727295	0.0955607604971461	0.136420808593848	-0.0947182852786574	0.281621189565518	0.443057879321742	-0.278568610504089	0.528557055516498	0.314869726197892	0.542707718045869	0.0942587512497984	0.149807086754063	-0.0910586682313908	0.276908125558939	0.501869093498864	-0.265434002115203
ENSG00000131914hsa-let-7b-5p	TCGA-ESCA	0.572199538767245	0.312160240419234	0.137858804679397	-0.0449826387099903	0.0804037928189319	-0.117820463634375	-0.242452496602271	0.505622413464977	-0.860565491425704	0.334009015518559	0.933423712376406	0.467601149700676	-0.0768641730066563	-0.006656381735395	-0.0578313417492179	-0.47624181062221	-0.0299211706423996	-0.330124429700006
ENSG00000131914hsa-let-7b-5p	TCGA-HNSC	0.388492006046596	0.669138508671903	0.487377498893935	-0.0387649933836055	0.0192150132497586	-0.0312229769589151	-0.410617913196581	0.174483975915711	-0.312134525072868	0.354240008653434	0.870932949421082	0.525207893080443	-0.0416413853757316	0.00730623496445251	-0.0285649220475162	-0.450702390192353	0.0600152787665317	-0.279668755744167
ENSG00000131914hsa-let-7b-5p	TCGA-KICH	0.473463314060744	0.0372240936918547	0.26497641649555	0.0904880783988594	0.258999526184748	-0.140299339220944	0.32471366632961	1.42917586736808	-0.576792777541011	0.641669866042658	0.0487689569463782	0.175681013448774	0.0588126117716106	0.245433202112791	-0.170037795492694	0.192688355470663	1.31185653284962	-0.755275171913855
ENSG00000131914hsa-let-7b-5p	TCGA-KIRC	0.000361707026256461	8.14550413881975e-15	1.72233690062865e-17	-0.159838910289565	0.33978936717328	-0.370184057588771	-3.44164305486909	14.0890820313147	-16.7638818936646	0.00789299913541754	1.40208429078895e-15	4.90675952744809e-18	-0.119401280699345	0.348812718290876	-0.376001193035843	-2.10275794476633	14.8532258765804	-17.3092052255857
ENSG00000131914hsa-let-7b-5p	TCGA-KIRP	0.00022281957852796	7.01283449415872e-10	0.00101484844317737	0.21553122133374	0.352512821450357	-0.192341761614705	3.65204665159038	9.15410641051256	-2.99359881017077	0.00043758798259776	1.71924640890162e-07	0.00434749435746366	0.205520179286077	0.301610053544615	-0.167293108345062	3.35893461346426	6.76466187412326	-2.36176097298804
ENSG00000131914hsa-let-7b-5p	TCGA-LAML	0.750013083116881	0.880970974562619	0.495381784470887	-0.0265932731146308	-0.0124993974916372	0.0568671493160325	-0.124931160773753	-0.0550384000952686	0.305059966763548	0.7499519453404	0.620723896398358	0.649872081935935	-0.0265999991950885	-0.0412894148501566	0.0378804485749227	-0.124966563997792	-0.207101534984869	0.18717211962871
