Type	Tissue	spemirp.value	spehostp.value	speratiop.value	spemirestimate	spehostestimate	speratioestimate	spemirfulogp	spehostfulogp	speratiofulogp	normirp.value	norhostp.value	norratiop.value	normirestimate	norhostestimate	norratioestimate	normirfulogp	norhostfulogp	norratiofulogp
ENSG00000131914hsa-let-7b-5p	all	6.21306692789599e-08	2.26725608733556e-77	6.76241244779999e-90	-0.0519164145852044	0.177290619996123	-0.191185237157238	-7.20669396808987	76.6444994233956	-89.1698983446112	1.77788845152378e-35	1.75622714329793e-05	5.57511312646908e-43	-0.118891612793136	0.041195976936736	-0.131342231035898	-34.750095491064	4.75541931490981	-42.2537463157771
ENSG00000131914hsa-let-7b-5p	TCGA-ACC	0.893850384278956	0.785802426564594	0.638412703323666	0.0152547439233035	0.0310637477414256	-0.0536876289026584	0.0487351688101354	0.104686634417079	-0.194898479852063	0.895758296445108	0.700114748619428	0.661225506850416	-0.0149790004947706	0.0440150666873009	-0.050070950643199	-0.0478091607408146	0.154830773402809	-0.17965040181758
ENSG00000131914hsa-let-7b-5p	TCGA-BLCA	5.49052155417439e-05	0.751095997790161	0.0315330117025864	-0.199528699213491	-0.0158488218483996	-0.10713743054142	-4.26038639920357	-0.124304552148775	-1.50123454801674	0.000124950547814764	0.786374511985302	0.0512177065150343	-0.18994248920105	-0.0135419861716582	-0.0971909044302428	-3.90326183547664	-0.10437057132486	-1.29057987276657
ENSG00000131914hsa-let-7b-5p	TCGA-BRCA	3.02522026088388e-11	0.523140457619372	3.19806506863474e-06	-0.200388810043588	-0.0194499865136562	-0.141181466439788	-10.5192429996548	-0.28138169205169	-5.49511270423533	8.00913720405207e-21	0.341598127483614	2.1764431628431e-08	-0.27943289470529	-0.0289658542311987	-0.169287448777942	-20.0964142664003	-0.466484518620511	-7.66225266982793
ENSG00000131914hsa-let-7b-5p	TCGA-CESC	0.600980881504723	0.893509024557014	0.328654364428296	-0.0300134741677013	0.00768390928043184	-0.0560269595371789	-0.221139343619671	0.0489010567056005	-0.483260596048941	0.0480697923750511	0.959257987854478	0.210973270822078	-0.113103370689828	0.0029323155014225	-0.0717102236862086	-1.31812775368921	0.0180645756931816	-0.675772563990473
ENSG00000131914hsa-let-7b-5p	TCGA-CHOL	0.63490102204882	0.0234844527255636	0.0303726798067144	-0.0818971217133407	-0.376835593265704	0.361326835997729	-0.197293973807983	-1.62921955602734	1.5175168882291	0.143873524315398	0.00879496357417805	0.0861845167393421	-0.248516588857983	-0.430356167528768	0.29003178783284	-0.842019117818911	-2.05576595490649	1.0645707492408
ENSG00000131914hsa-let-7b-5p	TCGA-COAD	0.767659556229602	0.00191755119070492	0.0134030250853948	0.0141078009052843	0.147359125807137	-0.117680617347272	0.114831339384023	2.71725303335347	-1.87279716957384	0.625521125271281	2.78295003893877e-05	0.00062829372399252	0.0233030075997599	0.198130072849399	-0.162195133261966	0.203758018610336	4.55549459029117	-3.20183727841717
ENSG00000131914hsa-let-7b-5p	TCGA-DLBC	0.0760592538729344	0.214264007908173	0.86040220027773	0.261287671334136	0.184562249650345	-0.026357438978432	1.11884793925124	0.669050775666811	-0.065298487676422	0.0726438483563326	0.263463610934121	0.781833878041224	0.264275939104712	0.166453478963954	-0.0414943369172757	1.13880115683762	0.579279360192768	-0.106885514861066
ENSG00000131914hsa-let-7b-5p	TCGA-ESCA	0.0615047197217637	0.491973727909636	0.0106302778725045	-0.148169313163355	0.0547140792126206	-0.201465139680018	-1.21109155624947	0.308058088550766	-1.97345538299146	0.0299146244657973	0.611329398461364	0.171339535226697	-0.171719225412963	-0.0404757889338184	-0.1086744792748	-1.5241164447175	-0.213724718748827	-0.766142415494905
ENSG00000131914hsa-let-7b-5p	TCGA-HNSC	0.16538522756093	0.835036865359776	0.377400775168168	-0.0623201980767432	0.00936448632716987	-0.0396786246764732	-0.781503284839629	0.0782943507811843	-0.423197212144293	0.0685330570652866	0.701810527500808	0.486887355149484	-0.0817738279458953	-0.0172164853857419	-0.031258119443128	-1.16409989510552	-0.153780121442332	-0.312571504279559
